,article_id,product_type_no,graphical_appearance_no,colour_group_code,perceived_colour_value_id,perceived_colour_master_id,index_group_no,section_no,garment_group_no,cluster,img_name
58344,719601001,254,1010010,7,1,12,1,2,1005,396,071/0719601001.jpg
14767,564312010,286,1010001,72,2,2,3,26,1017,334,056/0564312010.jpg
15689,567739002,262,1010016,73,4,2,4,45,1007,11,056/0567739002.jpg
37069,652418002,304,1010016,51,3,4,4,79,1021,332,065/0652418002.jpg
19199,582789004,265,1010016,63,4,6,1,18,1003,386,058/0582789004.jpg
7494,514693004,253,1010008,8,4,5,3,55,1005,187,051/0514693004.jpg
22241,597638001,253,1010001,10,3,9,1,15,1001,353,059/0597638001.jpg
73385,771733004,254,1010001,9,4,-1,1,15,1005,318,077/0771733004.jpg
20617,589641004,265,1010001,81,1,7,2,50,1013,35,058/0589641004.jpg
46648,686333001,57,1010001,51,1,4,4,44,1019,37,068/0686333001.jpg
33381,638635002,268,1010023,72,2,2,4,76,1016,333,063/0638635002.jpg
63776,739802033,273,1010023,7,2,12,4,76,1016,108,073/0739802033.jpg
28976,624486010,255,1010010,7,1,12,2,51,1002,2,062/0624486010.jpg
43492,677351001,275,1010016,9,4,5,1,11,1012,150,067/0677351001.jpg
66450,747946003,252,1010016,52,2,4,2,53,1005,101,074/0747946003.jpg
98446,879294001,265,1010016,9,4,5,1,16,1002,68,087/0879294001.jpg
61648,733834002,275,1010001,23,4,8,1,82,1001,193,073/0733834002.jpg
4933,488012003,302,1010012,43,4,18,4,72,1021,280,048/0488012003.jpg
23708,606670001,252,1010008,92,3,19,4,77,1005,143,060/0606670001.jpg
59689,724542001,297,1010001,8,4,12,1,62,1017,218,072/0724542001.jpg
44346,679726003,253,1010016,73,5,2,1,11,1005,157,067/0679726003.jpg
35656,647756001,253,1010005,12,1,11,26,5,1005,323,064/0647756001.jpg
10209,539290008,252,1010002,7,1,12,2,53,1003,378,053/0539290008.jpg
85691,820635001,260,1010016,9,4,5,26,22,1007,17,082/0820635001.jpg
78280,793339004,302,1010016,43,4,18,3,26,1021,82,079/0793339004.jpg
18741,580275001,265,1010001,9,4,5,2,50,1013,354,058/0580275001.jpg
37579,654193005,255,1010017,73,4,2,4,47,1005,190,065/0654193005.jpg
61221,732573008,258,1010001,10,3,9,1,18,1010,75,073/0732573008.jpg
73561,772349009,274,1010001,9,4,5,1,16,1002,65,077/0772349009.jpg
71348,763668005,245,1010004,9,4,5,2,53,1003,34,076/0763668005.jpg
63241,738745002,87,1010016,9,4,5,4,42,1020,205,073/0738745002.jpg
73888,774032001,252,1010017,11,1,9,4,46,1003,141,077/0774032001.jpg
51227,698435004,259,1010017,71,3,2,4,47,1011,247,069/0698435004.jpg
11842,550163001,271,1010016,17,4,13,4,41,1007,10,055/0550163001.jpg
48653,692842009,272,1010016,17,2,13,4,46,1009,237,069/0692842009.jpg
